nameWithOwner,url,createdAt,updatedAt,repo_age_days,last_update_days_ago,primaryLanguage,issues_total,closed_issues_total,closed_issues_ratio,merged_pull_requests,releases_total,stargazers,forks
llvm/llvm-project,https://github.com/llvm/llvm-project,2016-12-07T09:39:33Z,2026-02-27T22:20:28Z,3369,0,LLVM,92363,64220,0.6953000660437622,74687,149,37143,16295
docker/compose,https://github.com/docker/compose,2013-12-09T11:40:58Z,2026-02-27T19:24:41Z,4463,0,Go,8274,8231,0.9948029973410684,3752,275,37108,5725
alibaba/arthas,https://github.com/alibaba/arthas,2018-08-29T17:15:57Z,2026-02-27T19:29:54Z,2739,0,Java,2127,1751,0.8232251998119418,579,66,37107,7633
openai/gym,https://github.com/openai/gym,2016-04-27T14:59:16Z,2026-02-27T16:56:45Z,3593,0,Python,1840,1727,0.9385869565217392,999,19,37056,8710
vnpy/vnpy,https://github.com/vnpy/vnpy,2015-03-02T03:36:58Z,2026-02-27T20:55:12Z,4015,0,Python,2161,2151,0.99537251272559,1063,66,37024,10975
paperless-ngx/paperless-ngx,https://github.com/paperless-ngx/paperless-ngx,2022-02-12T21:56:52Z,2026-02-27T22:18:48Z,1476,0,Python,2358,2358,1.0,2963,141,36980,2348
ManimCommunity/manim,https://github.com/ManimCommunity/manim,2020-05-19T02:37:13Z,2026-02-27T22:03:19Z,2110,0,Python,1736,1362,0.7845622119815668,2039,33,36953,2686
huiyadanli/RevokeMsgPatcher,https://github.com/huiyadanli/RevokeMsgPatcher,2019-07-21T15:12:52Z,2026-02-27T16:13:20Z,2413,0,C#,992,945,0.9526209677419355,12,21,36938,3929
satwikkansal/wtfpython,https://github.com/satwikkansal/wtfpython,2017-08-28T20:22:19Z,2026-02-27T18:42:51Z,3105,0,Python,224,158,0.7053571428571429,113,2,36916,2668
AobingJava/JavaFamily,https://github.com/AobingJava/JavaFamily,2019-11-12T04:26:18Z,2026-02-27T09:26:35Z,2299,0,,66,60,0.9090909090909091,2,0,36883,7804
babysor/MockingBird,https://github.com/babysor/MockingBird,2021-08-07T03:53:39Z,2026-02-27T16:09:40Z,1665,0,Python,892,415,0.46524663677130046,82,1,36874,5243
inkonchain/docs,https://github.com/inkonchain/docs,2024-05-07T16:49:36Z,2026-02-27T17:45:12Z,661,0,MDX,37,13,0.35135135135135137,406,0,36838,451
inkonchain/node,https://github.com/inkonchain/node,2024-05-13T23:20:40Z,2026-02-27T17:45:09Z,654,0,Shell,26,13,0.5,36,6,36789,632
drawdb-io/drawdb,https://github.com/drawdb-io/drawdb,2023-07-16T17:09:20Z,2026-02-27T22:11:59Z,957,0,JavaScript,336,214,0.6369047619047619,344,0,36772,2874
PKUanonym/REKCARC-TSC-UHT,https://github.com/PKUanonym/REKCARC-TSC-UHT,2019-04-05T03:31:23Z,2026-02-27T21:50:37Z,2520,0,HTML,34,32,0.9411764705882353,175,0,36727,7851
sqlmapproject/sqlmap,https://github.com/sqlmapproject/sqlmap,2012-06-26T09:52:15Z,2026-02-27T20:54:13Z,4994,0,Python,5392,5353,0.99276706231454,180,11,36708,6213
inkonchain/ink-kit,https://github.com/inkonchain/ink-kit,2024-11-04T16:32:17Z,2026-02-27T17:45:10Z,480,0,TypeScript,5,3,0.6,91,0,36694,427
portainer/portainer,https://github.com/portainer/portainer,2016-05-19T20:15:28Z,2026-02-27T20:48:23Z,3571,0,TypeScript,6021,5339,0.8867297791064607,4784,176,36690,2779
exelban/stats,https://github.com/exelban/stats,2019-05-29T19:24:56Z,2026-02-27T22:09:32Z,2466,0,Swift,2442,2417,0.9897624897624898,432,320,36671,1183
shadowsocks/shadowsocks-android,https://github.com/shadowsocks/shadowsocks-android,2012-12-16T13:40:29Z,2026-02-27T22:12:58Z,4821,0,Kotlin,2513,2459,0.9785117389574214,258,186,36659,11539
markedjs/marked,https://github.com/markedjs/marked,2011-07-24T13:15:51Z,2026-02-27T16:49:16Z,5332,0,TypeScript,1652,1643,0.9945520581113801,1638,165,36602,3507
roboflow/supervision,https://github.com/roboflow/supervision,2022-11-28T14:08:44Z,2026-02-27T21:09:06Z,1187,0,Python,517,431,0.8336557059961315,1118,35,36595,3102
